Symbol,Company,Price 6-2-25,Yield on 6/2/25,Market Cap on 6/2/25,1d Chg on 6/2/25,1m Chg on 6/2/25,12m Chg on 6/2/25
MMM,3M,146.4,2.0%,79.0,-1.3%,3.0%,46.2%
AXP,American Express,295.33,1.1%,207.1,0.4%,6.7%,23.1%
AMGN,Amgen,288.47,3.3%,155.1,0.1%,2.6%,-5.7%
AAPL,Apple,201.7,0.5%,3033.1,0.4%,-1.8%,4.9%
BA,Boeing,211.47,0.0%,159.1,2.0%,14.0%,19.1%
CAT,Caterpillar,344.67,1.6%,164.7,-1.0%,6.5%,1.8%
CVX,Chevron,137.84,5.0%,240.8,0.8%,-0.5%,-15.1%
CSCO,Cisco,63.85,2.6%,254.0,1.3%,7.6%,37.3%
KO,Coca-Cola,72.0,2.8%,309.9,-0.1%,0.5%,14.4%
DIS,Disney,112.95,0.9%,204.2,-0.1%,22.1%,8.7%
DOW,Dow,27.2,10.3%,19.2,-1.9%,-10.6%,-52.8%
GS,Goldman Sachs,598.72,2.0%,186.1,-0.3%,5.8%,31.1%
HD,Home Depot,367.96,2.5%,365.7,-0.1%,0.9%,9.9%
HON,Honeywell,225.52,2.0%,145.1,-0.5%,5.3%,11.5%
IBM,IBM,263.9,2.5%,244.7,1.9%,7.5%,58.2%
INTC,Intel,19.74,0.0%,86.1,1.0%,-4.3%,-36.0%
JNJ,Johnson & Johnson,155.4,3.3%,374.5,0.1%,-0.5%,6.0%
JPM,JPMorgan Chase,264.66,2.1%,736.5,0.3%,4.8%,30.6%
MCD,McDonalds,312.68,2.3%,223.6,-0.4%,0.2%,20.8%
MRK,Merck,76.25,4.2%,191.9,-0.8%,-8.3%,-39.3%
MSFT,Microsoft,461.97,0.7%,3434.3,0.3%,6.1%,11.3%
NKE,Nike,61.57,2.6%,90.9,1.6%,5.1%,-35.2%
PG,Procter & Gamble,167.78,2.5%,393.4,-1.2%,4.5%,2.0%
CRM,Salesforce,261.62,0.6%,251.4,-1.4%,-4.9%,11.6%
TRV,Travelers,276.34,1.6%,62.6,0.2%,3.3%,28.1%
UNH,UnitedHealth,304.72,2.8%,278.7,0.9%,-23.8%,-38.5%
VZ,Verizon,44.1,6.1%,185.6,0.3%,0.8%,7.2%
V,Visa,365.32,0.6%,713.7,0.0%,5.1%,34.1%
WBA,Walgreens,11.2,0.0%,9.7,-0.4%,2.0%,-30.9%
WMT,Walmart,99.77,0.9%,799.8,1.1%,1.0%,51.7%
